Split,train,test,Model_ID,Attribute
3,0.910144927536232,0.8927536231884058,knn,16.0
4,0.9105072463768116,0.8898550724637682,knn,16.0
0,0.910144927536232,0.9014492753623188,knn,17.0
1,0.9112318840579712,0.8913043478260869,knn,17.0
2,0.907608695652174,0.9202898550724636,knn,17.0
3,0.91231884057971,0.8971014492753623,knn,17.0
4,0.9119565217391304,0.8927536231884058,knn,17.0
0,0.9061594202898552,0.8985507246376812,knn,18.0
1,0.905072463768116,0.8898550724637682,knn,18.0
2,0.9,0.9188405797101448,knn,18.0
3,0.907608695652174,0.8942028985507247,knn,18.0
4,0.9079710144927536,0.8898550724637682,knn,18.0
0,0.9072463768115944,0.8985507246376812,knn,19.0
1,0.910144927536232,0.8927536231884058,knn,19.0
2,0.9036231884057973,0.9260869565217392,knn,19.0
3,0.908695652173913,0.8985507246376812,knn,19.0
4,0.9105072463768116,0.8927536231884058,knn,19.0
0,0.9065217391304348,0.8971014492753623,knn,20.0
1,0.9054347826086956,0.8927536231884058,knn,20.0
2,0.9003623188405797,0.9217391304347826,knn,20.0
3,0.9057971014492754,0.8971014492753623,knn,20.0
4,0.9090579710144928,0.8913043478260869,knn,20.0
0,0.9079710144927536,0.9,knn,21.0
1,0.908695652173913,0.8913043478260869,knn,21.0
2,0.902536231884058,0.9246376811594202,knn,21.0
3,0.9079710144927536,0.9,knn,21.0
4,0.9072463768115944,0.8927536231884058,knn,21.0
0,0.9032608695652172,0.8956521739130435,knn,22.0
1,0.9068840579710143,0.8927536231884058,knn,22.0
2,0.9010869565217392,0.9217391304347826,knn,22.0
3,0.9057971014492754,0.8971014492753623,knn,22.0
4,0.9068840579710143,0.8884057971014493,knn,22.0
0,0.9047101449275362,0.9028985507246376,knn,23.0
1,0.9112318840579712,0.8942028985507247,knn,23.0
2,0.9018115942028986,0.9217391304347826,knn,23.0
3,0.907608695652174,0.8971014492753623,knn,23.0
4,0.9105072463768116,0.8913043478260869,knn,23.0
0,0.9007246376811594,0.8956521739130435,knn,24.0
1,0.9072463768115944,0.8913043478260869,knn,24.0
2,0.8992753623188405,0.917391304347826,knn,24.0
3,0.9018115942028986,0.8942028985507247,knn,24.0
4,0.9047101449275362,0.8855072463768116,knn,24.0
0,0.902536231884058,0.9014492753623188,knn,25.0
1,0.910144927536232,0.8898550724637682,knn,25.0
2,0.9018115942028986,0.9246376811594202,knn,25.0
3,0.9032608695652172,0.8956521739130435,knn,25.0
4,0.910144927536232,0.8913043478260869,knn,25.0
0,0.8996376811594203,0.8971014492753623,knn,26.0
1,0.9072463768115944,0.8884057971014493,knn,26.0
2,0.8996376811594203,0.9217391304347826,knn,26.0
3,0.8992753623188405,0.8927536231884058,knn,26.0
4,0.9068840579710143,0.8913043478260869,knn,26.0
0,0.902536231884058,0.8942028985507247,knn,27.0
1,0.908695652173913,0.8869565217391304,knn,27.0
2,0.9003623188405797,0.9231884057971016,knn,27.0
3,0.902536231884058,0.8971014492753623,knn,27.0
4,0.910144927536232,0.8927536231884058,knn,27.0
0,0.9003623188405797,0.8898550724637682,knn,28.0
1,0.907608695652174,0.8855072463768116,knn,28.0
2,0.8971014492753623,0.9217391304347826,knn,28.0
3,0.9007246376811594,0.8942028985507247,knn,28.0
4,0.9079710144927536,0.8898550724637682,knn,28.0
0,0.9054347826086956,0.8956521739130435,knn,29.0
1,0.9090579710144928,0.8855072463768116,knn,29.0
2,0.9007246376811594,0.9217391304347826,knn,29.0
3,0.9036231884057973,0.8942028985507247,knn,29.0
4,0.9094202898550724,0.8927536231884058,knn,29.0
0,0.9043478260869564,0.8898550724637682,knn,30.0
1,0.9090579710144928,0.8884057971014493,knn,30.0
2,0.8996376811594203,0.927536231884058,knn,30.0
3,0.9021739130434784,0.8927536231884058,knn,30.0
4,0.908695652173913,0.8898550724637682,knn,30.0
0,0.9047101449275362,0.8898550724637682,knn,31.0
1,0.907608695652174,0.8884057971014493,knn,31.0
2,0.9010869565217392,0.927536231884058,knn,31.0
3,0.9054347826086956,0.8956521739130435,knn,31.0
4,0.9119565217391304,0.8927536231884058,knn,31.0
0,0.9043478260869564,0.8884057971014493,knn,32.0
1,0.9079710144927536,0.8884057971014493,knn,32.0
2,0.8981884057971015,0.927536231884058,knn,32.0
3,0.9057971014492754,0.8898550724637682,knn,32.0
4,0.9105072463768116,0.8942028985507247,knn,32.0
0,0.9039855072463768,0.8942028985507247,knn,33.0
1,0.9094202898550724,0.8898550724637682,knn,33.0
2,0.8996376811594203,0.9304347826086956,knn,33.0
3,0.9061594202898552,0.8985507246376812,knn,33.0
4,0.9108695652173912,0.8942028985507247,knn,33.0
0,0.9028985507246376,0.8956521739130435,knn,34.0
1,0.9083333333333332,0.8898550724637682,knn,34.0
2,0.8989130434782608,0.9289855072463769,knn,34.0
3,0.9065217391304348,0.8956521739130435,knn,34.0
4,0.9083333333333332,0.8913043478260869,knn,34.0
0,0.9021739130434784,0.8942028985507247,knn,35.0
1,0.9094202898550724,0.8869565217391304,knn,35.0
2,0.9018115942028986,0.9304347826086956,knn,35.0
3,0.9065217391304348,0.8971014492753623,knn,35.0
4,0.9097826086956522,0.8942028985507247,knn,35.0
0,0.9021739130434784,0.8985507246376812,knn,36.0
1,0.9068840579710143,0.8884057971014493,knn,36.0
2,0.8996376811594203,0.927536231884058,knn,36.0
3,0.9047101449275362,0.8971014492753623,knn,36.0
4,0.9090579710144928,0.8927536231884058,knn,36.0
0,0.9039855072463768,0.8985507246376812,knn,37.0
1,0.9094202898550724,0.8855072463768116,knn,37.0
2,0.8989130434782608,0.927536231884058,knn,37.0
3,0.905072463768116,0.8971014492753623,knn,37.0
4,0.9083333333333332,0.9,knn,37.0
0,0.8989130434782608,0.8985507246376812,knn,38.0
1,0.9061594202898552,0.8869565217391304,knn,38.0
2,0.8974637681159421,0.927536231884058,knn,38.0
3,0.9054347826086956,0.8956521739130435,knn,38.0
4,0.9072463768115944,0.8971014492753623,knn,38.0
0,0.9036231884057973,0.9,knn,39.0
1,0.9079710144927536,0.8826086956521739,knn,39.0
2,0.8971014492753623,0.9260869565217392,knn,39.0
3,0.9032608695652172,0.8971014492753623,knn,39.0
4,0.9119565217391304,0.9014492753623188,knn,39.0
0,0.9014492753623188,0.9014492753623188,knn,40.0
1,0.9068840579710143,0.881159420289855,knn,40.0
2,0.8945652173913043,0.9231884057971016,knn,40.0
3,0.9043478260869564,0.8971014492753623,knn,40.0
4,0.9090579710144928,0.9,knn,40.0
0,0.9007246376811594,0.9014492753623188,knn,41.0
1,0.908695652173913,0.8826086956521739,knn,41.0
2,0.8952898550724637,0.9217391304347826,knn,41.0
3,0.9061594202898552,0.8985507246376812,knn,41.0
4,0.9115942028985508,0.9,knn,41.0
0,0.9007246376811594,0.9043478260869564,knn,42.0
1,0.907608695652174,0.881159420289855,knn,42.0
2,0.8942028985507247,0.9217391304347826,knn,42.0
3,0.902536231884058,0.8971014492753623,knn,42.0
4,0.910144927536232,0.8985507246376812,knn,42.0
0,0.9018115942028986,0.9043478260869564,knn,43.0
1,0.9094202898550724,0.8855072463768116,knn,43.0
2,0.8942028985507247,0.9217391304347826,knn,43.0
3,0.9043478260869564,0.8956521739130435,knn,43.0
4,0.9097826086956522,0.9014492753623188,knn,43.0
0,0.8996376811594203,0.9043478260869564,knn,44.0
1,0.9094202898550724,0.8855072463768116,knn,44.0
2,0.8931159420289855,0.9202898550724636,knn,44.0
3,0.9039855072463768,0.8942028985507247,knn,44.0
4,0.9097826086956522,0.9014492753623188,knn,44.0
0,0.9039855072463768,0.9028985507246376,knn,45.0
1,0.9115942028985508,0.8840579710144928,knn,45.0
2,0.8960144927536232,0.9217391304347826,knn,45.0
3,0.9065217391304348,0.8927536231884058,knn,45.0
4,0.9108695652173912,0.9043478260869564,knn,45.0
0,0.9021739130434784,0.9014492753623188,knn,46.0
1,0.9126811594202898,0.8826086956521739,knn,46.0
2,0.894927536231884,0.9202898550724636,knn,46.0
3,0.9054347826086956,0.8927536231884058,knn,46.0
4,0.9072463768115944,0.9043478260869564,knn,46.0
0,0.902536231884058,0.8985507246376812,knn,47.0
1,0.9126811594202898,0.8840579710144928,knn,47.0
2,0.8956521739130435,0.917391304347826,knn,47.0
3,0.905072463768116,0.8913043478260869,knn,47.0
4,0.9072463768115944,0.9043478260869564,knn,47.0
0,0.9021739130434784,0.8985507246376812,knn,48.0
1,0.9097826086956522,0.8826086956521739,knn,48.0
2,0.8963768115942029,0.9231884057971016,knn,48.0
3,0.9043478260869564,0.8898550724637682,knn,48.0
4,0.907608695652174,0.9028985507246376,knn,48.0
0,0.9032608695652172,0.8985507246376812,knn,49.0
1,0.9105072463768116,0.881159420289855,knn,49.0
2,0.8971014492753623,0.9202898550724636,knn,49.0
3,0.9054347826086956,0.8898550724637682,knn,49.0
4,0.9090579710144928,0.9043478260869564,knn,49.0
0,0.9021739130434784,0.9,knn,50.0
1,0.9090579710144928,0.8797101449275362,knn,50.0
2,0.8974637681159421,0.9231884057971016,knn,50.0
3,0.9043478260869564,0.8855072463768116,knn,50.0
4,0.9079710144927536,0.9043478260869564,knn,50.0
0,0.9039855072463768,0.9014492753623188,knn,51.0
1,0.9090579710144928,0.881159420289855,knn,51.0
2,0.8992753623188405,0.9188405797101448,knn,51.0
3,0.9047101449275362,0.8869565217391304,knn,51.0
4,0.9105072463768116,0.9043478260869564,knn,51.0
0,0.902536231884058,0.9028985507246376,knn,52.0
1,0.9090579710144928,0.8797101449275362,knn,52.0
2,0.8989130434782608,0.9202898550724636,knn,52.0
3,0.9061594202898552,0.8855072463768116,knn,52.0
4,0.9097826086956522,0.9028985507246376,knn,52.0
0,0.9018115942028986,0.8985507246376812,knn,53.0
1,0.9115942028985508,0.8797101449275362,knn,53.0
2,0.8996376811594203,0.917391304347826,knn,53.0
3,0.9079710144927536,0.8884057971014493,knn,53.0
4,0.910144927536232,0.9028985507246376,knn,53.0
0,0.9021739130434784,0.9043478260869564,knn,54.0
1,0.9094202898550724,0.8797101449275362,knn,54.0
2,0.8974637681159421,0.9202898550724636,knn,54.0
3,0.9061594202898552,0.8898550724637682,knn,54.0
4,0.9094202898550724,0.9043478260869564,knn,54.0
0,0.9018115942028986,0.8985507246376812,knn,55.0
1,0.9105072463768116,0.8797101449275362,knn,55.0
2,0.8981884057971015,0.9202898550724636,knn,55.0
3,0.907608695652174,0.8884057971014493,knn,55.0
4,0.9112318840579712,0.9057971014492754,knn,55.0
0,0.902536231884058,0.9,knn,56.0
1,0.9097826086956522,0.8782608695652174,knn,56.0
2,0.8971014492753623,0.9217391304347826,knn,56.0
3,0.9068840579710143,0.8898550724637682,knn,56.0
4,0.9108695652173912,0.9057971014492754,knn,56.0
0,0.9014492753623188,0.8956521739130435,knn,57.0
1,0.9108695652173912,0.881159420289855,knn,57.0
2,0.8985507246376812,0.9217391304347826,knn,57.0
3,0.9072463768115944,0.8898550724637682,knn,57.0
4,0.908695652173913,0.9057971014492754,knn,57.0
0,0.9010869565217392,0.8927536231884058,knn,58.0
1,0.9108695652173912,0.8797101449275362,knn,58.0
2,0.8981884057971015,0.9217391304347826,knn,58.0
3,0.9057971014492754,0.8913043478260869,knn,58.0
4,0.9090579710144928,0.9057971014492754,knn,58.0
0,0.9007246376811594,0.8956521739130435,knn,59.0
1,0.9115942028985508,0.8855072463768116,knn,59.0
2,0.8992753623188405,0.9231884057971016,knn,59.0
3,0.9061594202898552,0.8942028985507247,knn,59.0
4,0.9094202898550724,0.908695652173913,knn,59.0
0,0.9014492753623188,0.8956521739130435,knn,60.0
1,0.9119565217391304,0.881159420289855,knn,60.0
2,0.8989130434782608,0.9231884057971016,knn,60.0
3,0.9054347826086956,0.8898550724637682,knn,60.0
4,0.907608695652174,0.9072463768115944,knn,60.0
0,0.8996376811594203,0.8956521739130435,knn,61.0
1,0.9105072463768116,0.8855072463768116,knn,61.0
2,0.9,0.9202898550724636,knn,61.0
3,0.9068840579710143,0.8913043478260869,knn,61.0
4,0.9090579710144928,0.908695652173913,knn,61.0
0,0.9,0.8956521739130435,knn,62.0
1,0.9105072463768116,0.881159420289855,knn,62.0
2,0.9007246376811594,0.9202898550724636,knn,62.0
3,0.9057971014492754,0.8942028985507247,knn,62.0
4,0.908695652173913,0.9072463768115944,knn,62.0
0,0.9010869565217392,0.8956521739130435,knn,63.0
1,0.91231884057971,0.8840579710144928,knn,63.0
2,0.9007246376811594,0.9202898550724636,knn,63.0
3,0.9079710144927536,0.8942028985507247,knn,63.0
4,0.910144927536232,0.910144927536232,knn,63.0
0,0.9007246376811594,0.8971014492753623,knn,64.0
1,0.9119565217391304,0.881159420289855,knn,64.0
2,0.9,0.9217391304347826,knn,64.0
3,0.9068840579710143,0.8942028985507247,knn,64.0
4,0.9083333333333332,0.9072463768115944,knn,64.0
0,0.9014492753623188,0.8971014492753623,knn,65.0
1,0.9126811594202898,0.8826086956521739,knn,65.0
2,0.9036231884057973,0.9188405797101448,knn,65.0
3,0.9061594202898552,0.8956521739130435,knn,65.0
4,0.907608695652174,0.908695652173913,knn,65.0
0,0.9007246376811594,0.9,knn,66.0
1,0.9112318840579712,0.8826086956521739,knn,66.0
2,0.9014492753623188,0.9188405797101448,knn,66.0
3,0.9072463768115944,0.8942028985507247,knn,66.0
4,0.9068840579710143,0.9057971014492754,knn,66.0
0,0.9007246376811594,0.9,knn,67.0
1,0.9141304347826088,0.8840579710144928,knn,67.0
2,0.9021739130434784,0.9202898550724636,knn,67.0
3,0.9079710144927536,0.9,knn,67.0
4,0.9079710144927536,0.910144927536232,knn,67.0
0,0.9014492753623188,0.9014492753623188,knn,68.0
1,0.9141304347826088,0.8782608695652174,knn,68.0
2,0.8996376811594203,0.9202898550724636,knn,68.0
3,0.9079710144927536,0.8971014492753623,knn,68.0
4,0.9083333333333332,0.908695652173913,knn,68.0
0,0.9007246376811594,0.9,knn,69.0
1,0.9134057971014492,0.881159420289855,knn,69.0
2,0.9010869565217392,0.9217391304347826,knn,69.0
3,0.9083333333333332,0.9,knn,69.0
4,0.9090579710144928,0.9130434782608696,knn,69.0
0,0.9010869565217392,0.9014492753623188,knn,70.0
1,0.9144927536231884,0.8797101449275362,knn,70.0
2,0.9003623188405797,0.9188405797101448,knn,70.0
3,0.9090579710144928,0.9014492753623188,knn,70.0
4,0.9108695652173912,0.910144927536232,knn,70.0
0,0.9018115942028986,0.8985507246376812,knn,71.0
1,0.915217391304348,0.881159420289855,knn,71.0
2,0.9018115942028986,0.9188405797101448,knn,71.0
3,0.9094202898550724,0.9057971014492754,knn,71.0
4,0.910144927536232,0.9130434782608696,knn,71.0
0,0.9021739130434784,0.8985507246376812,knn,72.0
1,0.914855072463768,0.8797101449275362,knn,72.0
2,0.9010869565217392,0.9202898550724636,knn,72.0
3,0.910144927536232,0.9043478260869564,knn,72.0
4,0.9108695652173912,0.908695652173913,knn,72.0
0,0.9043478260869564,0.8971014492753623,knn,73.0
1,0.915217391304348,0.881159420289855,knn,73.0
2,0.9021739130434784,0.9202898550724636,knn,73.0
3,0.908695652173913,0.9014492753623188,knn,73.0
4,0.9108695652173912,0.9144927536231884,knn,73.0
0,0.9047101449275362,0.9014492753623188,knn,74.0
1,0.9144927536231884,0.8826086956521739,knn,74.0
2,0.9028985507246376,0.9188405797101448,knn,74.0
3,0.9097826086956522,0.9014492753623188,knn,74.0
4,0.9112318840579712,0.9144927536231884,knn,74.0
0,0.905072463768116,0.8971014492753623,knn,75.0
1,0.9126811594202898,0.881159420289855,knn,75.0
2,0.9032608695652172,0.9260869565217392,knn,75.0
3,0.9083333333333332,0.9028985507246376,knn,75.0
4,0.910144927536232,0.9144927536231884,knn,75.0
0,0.9061594202898552,0.9014492753623188,knn,76.0
1,0.9126811594202898,0.8797101449275362,knn,76.0
2,0.9010869565217392,0.9217391304347826,knn,76.0
3,0.9083333333333332,0.9014492753623188,knn,76.0
4,0.910144927536232,0.9144927536231884,knn,76.0
0,0.9061594202898552,0.8985507246376812,knn,77.0
1,0.9134057971014492,0.8797101449275362,knn,77.0
2,0.9028985507246376,0.9246376811594202,knn,77.0
3,0.9094202898550724,0.9,knn,77.0
4,0.910144927536232,0.9144927536231884,knn,77.0
0,0.905072463768116,0.9014492753623188,knn,78.0
1,0.9126811594202898,0.8782608695652174,knn,78.0
2,0.9010869565217392,0.927536231884058,knn,78.0
3,0.9090579710144928,0.8985507246376812,knn,78.0
4,0.9094202898550724,0.9144927536231884,knn,78.0
0,0.9083333333333332,0.9028985507246376,knn,79.0
1,0.91231884057971,0.8782608695652174,knn,79.0
2,0.9021739130434784,0.9289855072463769,knn,79.0
3,0.9079710144927536,0.8971014492753623,knn,79.0
4,0.9094202898550724,0.9130434782608696,knn,79.0
0,0.9068840579710143,0.9014492753623188,knn,80.0
1,0.9130434782608696,0.8797101449275362,knn,80.0
2,0.9014492753623188,0.9289855072463769,knn,80.0
3,0.907608695652174,0.8942028985507247,knn,80.0
4,0.9083333333333332,0.9144927536231884,knn,80.0
0,0.9083333333333332,0.9014492753623188,knn,81.0
1,0.9134057971014492,0.8797101449275362,knn,81.0
2,0.902536231884058,0.9289855072463769,knn,81.0
3,0.908695652173913,0.8985507246376812,knn,81.0
4,0.907608695652174,0.9130434782608696,knn,81.0
0,0.9068840579710143,0.9043478260869564,knn,82.0
1,0.9141304347826088,0.8797101449275362,knn,82.0
2,0.9007246376811594,0.9289855072463769,knn,82.0
3,0.9083333333333332,0.8942028985507247,knn,82.0
4,0.9083333333333332,0.9115942028985508,knn,82.0
0,0.9068840579710143,0.9014492753623188,knn,83.0
1,0.9134057971014492,0.8797101449275362,knn,83.0
2,0.9014492753623188,0.9304347826086956,knn,83.0
3,0.9090579710144928,0.8985507246376812,knn,83.0
4,0.9097826086956522,0.9159420289855073,knn,83.0
0,0.9065217391304348,0.9057971014492754,knn,84.0
1,0.9141304347826088,0.8797101449275362,knn,84.0
2,0.9018115942028986,0.9289855072463769,knn,84.0
3,0.9079710144927536,0.8942028985507247,knn,84.0
4,0.9083333333333332,0.9144927536231884,knn,84.0
0,0.9068840579710143,0.8985507246376812,knn,85.0
1,0.9126811594202898,0.8826086956521739,knn,85.0
2,0.9021739130434784,0.9318840579710144,knn,85.0
3,0.9083333333333332,0.8942028985507247,knn,85.0
4,0.907608695652174,0.9144927536231884,knn,85.0
0,0.9072463768115944,0.8985507246376812,knn,86.0
1,0.9134057971014492,0.8826086956521739,knn,86.0
2,0.9003623188405797,0.9304347826086956,knn,86.0
3,0.9097826086956522,0.8956521739130435,knn,86.0
4,0.9072463768115944,0.9144927536231884,knn,86.0
0,0.9072463768115944,0.9,knn,87.0
1,0.91231884057971,0.8826086956521739,knn,87.0
2,0.9,0.9304347826086956,knn,87.0
3,0.908695652173913,0.8971014492753623,knn,87.0
4,0.9090579710144928,0.9144927536231884,knn,87.0
0,0.9068840579710143,0.9028985507246376,knn,88.0
1,0.9119565217391304,0.881159420289855,knn,88.0
2,0.8978260869565218,0.9304347826086956,knn,88.0
3,0.907608695652174,0.8942028985507247,knn,88.0
4,0.9090579710144928,0.9130434782608696,knn,88.0
0,0.9083333333333332,0.9,knn,89.0
1,0.91231884057971,0.8826086956521739,knn,89.0
2,0.9,0.9318840579710144,knn,89.0
3,0.9065217391304348,0.8971014492753623,knn,89.0
4,0.908695652173913,0.9115942028985508,knn,89.0
0,0.9065217391304348,0.9014492753623188,knn,90.0
1,0.91231884057971,0.8826086956521739,knn,90.0
2,0.9,0.9304347826086956,knn,90.0
3,0.9068840579710143,0.8956521739130435,knn,90.0
4,0.9090579710144928,0.9115942028985508,knn,90.0
0,0.9072463768115944,0.8985507246376812,knn,91.0
1,0.91231884057971,0.8840579710144928,knn,91.0
2,0.9,0.9318840579710144,knn,91.0
3,0.9079710144927536,0.8956521739130435,knn,91.0
4,0.908695652173913,0.910144927536232,knn,91.0
0,0.9054347826086956,0.9014492753623188,knn,92.0
1,0.9134057971014492,0.881159420289855,knn,92.0
2,0.9,0.9333333333333332,knn,92.0
3,0.9083333333333332,0.8956521739130435,knn,92.0
4,0.9090579710144928,0.910144927536232,knn,92.0
0,0.9065217391304348,0.9,knn,93.0
1,0.9141304347826088,0.881159420289855,knn,93.0
2,0.8992753623188405,0.9318840579710144,knn,93.0
3,0.9072463768115944,0.8971014492753623,knn,93.0
4,0.9079710144927536,0.908695652173913,knn,93.0
0,0.9047101449275362,0.9,knn,94.0
1,0.914855072463768,0.8826086956521739,knn,94.0
2,0.8989130434782608,0.9304347826086956,knn,94.0
3,0.9054347826086956,0.8956521739130435,knn,94.0
4,0.9083333333333332,0.9057971014492754,knn,94.0
0,0.9054347826086956,0.9014492753623188,knn,95.0
1,0.9144927536231884,0.881159420289855,knn,95.0
2,0.9014492753623188,0.9318840579710144,knn,95.0
3,0.9065217391304348,0.8942028985507247,knn,95.0
4,0.9083333333333332,0.9072463768115944,knn,95.0
0,0.9039855072463768,0.9,knn,96.0
1,0.9141304347826088,0.8826086956521739,knn,96.0
2,0.9007246376811594,0.9304347826086956,knn,96.0
3,0.9061594202898552,0.8956521739130435,knn,96.0
4,0.9090579710144928,0.9057971014492754,knn,96.0
0,0.905072463768116,0.9,knn,97.0
1,0.915217391304348,0.881159420289855,knn,97.0
2,0.9007246376811594,0.9304347826086956,knn,97.0
3,0.9065217391304348,0.8956521739130435,knn,97.0
4,0.9072463768115944,0.9028985507246376,knn,97.0
0,0.9039855072463768,0.9014492753623188,knn,98.0
1,0.913768115942029,0.8840579710144928,knn,98.0
2,0.9014492753623188,0.9318840579710144,knn,98.0
3,0.9061594202898552,0.8985507246376812,knn,98.0
4,0.9083333333333332,0.9043478260869564,knn,98.0
0,0.9043478260869564,0.9014492753623188,knn,99.0
1,0.9141304347826088,0.8826086956521739,knn,99.0
2,0.8996376811594203,0.9289855072463769,knn,99.0
3,0.905072463768116,0.8985507246376812,knn,99.0
4,0.9068840579710143,0.9014492753623188,knn,99.0
0,0.905072463768116,0.9028985507246376,knn,100.0
1,0.9155797101449276,0.881159420289855,knn,100.0
2,0.9,0.9289855072463769,knn,100.0
3,0.9047101449275362,0.9,knn,100.0
4,0.9061594202898552,0.9014492753623188,knn,100.0
0,0.9333333333333332,0.9304347826086956,svm,0.1
1,0.9358695652173912,0.917391304347826,svm,0.1
2,0.9304347826086956,0.955072463768116,svm,0.1
3,0.933695652173913,0.9188405797101448,svm,0.1
4,0.935144927536232,0.9202898550724636,svm,0.1
0,0.939855072463768,0.9318840579710144,svm,0.2
1,0.9409420289855072,0.927536231884058,svm,0.2
2,0.9347826086956522,0.9565217391304348,svm,0.2
3,0.9420289855072465,0.9231884057971016,svm,0.2
4,0.9420289855072465,0.9231884057971016,svm,0.2
0,0.9420289855072465,0.9333333333333332,svm,0.3
1,0.9431159420289856,0.9260869565217392,svm,0.3
2,0.936231884057971,0.9579710144927536,svm,0.3
3,0.9427536231884058,0.9231884057971016,svm,0.3
4,0.9434782608695652,0.9246376811594202,svm,0.3
0,0.9438405797101448,0.9333333333333332,svm,0.4
1,0.9445652173913044,0.9260869565217392,svm,0.4
2,0.939855072463768,0.9579710144927536,svm,0.4
3,0.9460144927536231,0.9246376811594202,svm,0.4
4,0.944927536231884,0.9246376811594202,svm,0.4
0,0.9460144927536231,0.9304347826086956,svm,0.5
1,0.9481884057971014,0.9231884057971016,svm,0.5
2,0.9416666666666668,0.9594202898550724,svm,0.5
3,0.9471014492753624,0.9246376811594202,svm,0.5
4,0.947463768115942,0.9246376811594202,svm,0.5
0,0.9492753623188406,0.9304347826086956,svm,0.6000000000000001
1,0.9510869565217392,0.9246376811594202,svm,0.6000000000000001
2,0.9442028985507246,0.9623188405797102,svm,0.6000000000000001
